"full_date","speechtitle","hyperlink","name","position_cat1","type"
1998-07-16,"Comment on a draft banking regulatory relief bill","http://www.federalreserve.gov/boarddocs/testimony/1998/19980716.htm","Laurence H. Meyer","Governor","House"
1998-07-17,"Reforms in the Truth in Lending Act and the Real Estate Settlement Procedures Act","http://www.federalreserve.gov/boarddocs/testimony/1998/19980717.htm","Edward M. Gramlich","Governor","Senate"
1998-07-20,"Themes in international bank supervision","http://www.federalreserve.gov/boarddocs/speeches/1998/19980720.htm","Roger W. Ferguson","1","Public"
1998-07-21,"The Federal Reserve's midyear report on monetary policy","http://www.federalreserve.gov/boarddocs/hh/1998/july/testimony.htm","Alan Greenspan","Chairman","Senate"
1998-07-24,"The regulation of OTC derivatives","http://www.federalreserve.gov/boarddocs/testimony/1998/19980724.htm","Alan Greenspan","Chairman","House"
1998-07-30,"The Commodity Exchange Act and OTC derivatives","http://www.federalreserve.gov/boarddocs/testimony/1998/19980730.htm","Alan Greenspan","Chairman","Senate"
1998-08-28,"Income inequality","http://www.federalreserve.gov/boarddocs/speeches/1998/19980828.htm","Alan Greenspan","3","Public"
1998-09-04,"Is there a new economy?","http://www.federalreserve.gov/boarddocs/speeches/1998/19980904.htm","Alan Greenspan","3","Public"
1998-09-09,"Social security reform","http://www.federalreserve.gov/boarddocs/testimony/1998/19980909.htm","Edward M. Gramlich","Governor","Senate"
1998-09-15,"World capital flows","http://www.federalreserve.gov/boarddocs/speeches/1998/19980915.htm","Edward M. Gramlich","1","Public"
1998-09-16,"International economic and financial system","http://www.federalreserve.gov/boarddocs/testimony/1998/19980916.htm","Alan Greenspan","Chairman","House"
1998-09-17,"Year 2000 progress of the banking and financial services sector","http://www.federalreserve.gov/boarddocs/testimony/1998/19980917.htm","Edward W. Kelley Jr.","Governor","House"
1998-09-17,"The state of the U.S. economy","http://www.federalreserve.gov/boarddocs/speeches/1998/19980917.htm","Roger W. Ferguson","1","Public"
1998-09-18,"Recent developments in banking and financial markets","http://www.federalreserve.gov/boarddocs/speeches/1998/19980918.htm","Laurence H. Meyer","1","Public"
1998-09-23,"The crisis in emerging market economies","http://www.federalreserve.gov/boarddocs/testimony/1998/19980923.htm","Alan Greenspan","Chairman","Senate"
1998-09-28,"The Federal Reserve's roles in the payments system","http://www.federalreserve.gov/boarddocs/speeches/1998/19980928.htm","Alice M. Rivlin","2","Public"
